news_id,FinRE,FinNA,summary_report,sentiment_analysis
15,台積電股價千元，7萬股民獲利結算，淨利18萬元。,股價波動/股民獲利/股民結構/減少/淨利。,台積電上周股價重返千元，有7萬多名股民獲利了結，淨利高達18萬元。股民結構持1到999股者也減少，今年台積電股價波動大，數百萬股民受益。,0.8171529173851013
4,台積電股價重返千元，林信富預估Q4EPS4281元，建議抱牢。,競爭/股價/投資/業績/股票,台積電股價收盤1005元，重返千元股行列。分析師林信富認為台積電Q4業績可望成長，表示股價仍便宜，預估EPS平均4281元，建議投資人續抱股票。,0.7876724004745483
6,台股昨日上漲，台積電成熱門自營商買超，連6漲。,收購/自營商買超/熱門股/投資風險/樂觀氛圍,台股昨日收盤上漲，自營商買超前10大股中，新光金、台積電成熱門，台積電連6漲站上千元，被自營商大量收購。另外友達、群創、全新等股也受到矚目。投資風險自負，樂觀氛圍繼續。,0.9135311245918274
7,台股23000點回收，電子尤其強勢。,收購/競爭/持股/交易/表現,台股今日開高震盪，成功收復23000點大關，漲幅逾220點，成交量預估降至3780億。電子權值股表現強勢，台積電、鴻海、聯發科皆呈上漲趨勢。PCB族群景碩、欣興，以及南電等股票也有表現。其他吸引資金流入的族群包含工具機、MCU、IC設計、鋼鐵及塑化類股。,0.9513587951660156
9,台股開盤失守23000點，收22822點，下跌36點，主因是台積電股價下跌，但美光財測驚艷，台積電ADR大漲，市場樂觀。,競爭/收購/合作/持股/交易,台股27日早盤高低震盪，開盤夜市場失守23000點，收在22822點，下跌36點。主因是台積電股價下跌。美光財測驚艷，中國承諾支持更多經濟政策，市場情緒樂觀。台積電ADR也大漲。台股目前處於連6漲的狀態，考量多項指標，短期可期待回升行情，但需注意可能的波動，進退應對為佳策略。同時，國際智,0.8824597597122192
18,台積電2330股價飆漲，投資者應考慮波動度，分散風險以降低損失。,投資/股價/漲幅/0050指數/波動度/單一股風險/分散投資/指數型ETF/投資策略/穩健賺錢,台積電2330股價漲幅超過0050指數，但投資不應僅看結果，應考慮波動度。持有單一股風險高，分散投資或投資指數型ETF能降低風險、穩定成長。投資應回歸過程和心理層面，找到適合自己的標的和策略才能長期穩健賺錢。,0.9989796280860901
19,OpenAI提議遠東建晶圓廠，台積電懷疑風險高，計劃中東設廠以降低芯片價格。,競爭/投資/風險/設廠/芯片價格,OpenAI執行長提議在遠東興建36座晶圓廠，台積電證其提議荒謬，投資7兆美元相當龐大，且台積電認為此舉風險極高。未來可能朝中東設廠，以壓抑芯片價格。,0.833372950553894
14,台積電股價重返千元，7萬股民獲利出場，有18萬元收益。,持股/收益/股價波動/股災/股東,台積電股價重返千元，有7萬多股民獲利離場。從8月股災8字頭起上車者可賺近18萬元。截至9月27日，台積電總受益人數減少69萬人。股價波動引發股民變動，從815元開始買進的股東現賺18萬元。,0.6091269850730896
8,台股開盤上漲208點，站上2萬3；台積電、鴻海、聯發科皆漲。,上漲/漲停/強勢表現/跌停/提醒投資,台股27日開盤上漲208點，站上2萬3。三大權值股台積電、鴻海、聯發科皆漲。觀察多檔個股漲停，包括汽車、電腦週邊、通訊網路等。另有製鞋股、光電股表現強勢，生技股則有一檔跌停。FTNN提醒投資人應獨立判斷評估。,0.9898681640625
16,台股開盤下跌超200點，台積電、鴻海、聯發科股價同跌，美股上漲但費城半導體指數下滑。,競爭/股價下跌/指數下跌/市場震盪/風險,台股今日開盤即跌超過200點，台積電、鴻海、聯發科股價紛紛下跌。美股上漲，費城半導體指數下跌。華冠投顧分析師提醒市場震盪整理，並關注外部因素如美國PCE數據和日本新首相。投資人應評估風險。三立新聞提供即時股市行情，提醒投資有風險。,0.9216141104698181
