ID,title,extracted_news_info,summary_report,sentiment_result,trend_result,sentiment_ratio,compression_ratio,country
1,美東港口工人協會罷工抗議加薪需求未達成，台股受影響上漲,美東港口工人協會/ILA/美國海事聯盟/USMX/罷工/時薪加薪/全自動化設備/台股貨櫃航運股,美東港口工人協會（ILA）宣布自10月1日起關閉大西洋和墨西哥灣海岸所有港口，抗議美國海事聯盟（USMX）。罷工是因USMX提議未達基層成員要求，拒絕加薪提案。ILA要求時薪每年調漲6美元，約當6年加薪近77％，並禁用全自動化設備。美東港口罷工可能影響36個港口，台股貨櫃航運股受影響上漲。ILA主席指責USMX，,ILA宣布關閉港口抗議USMX未達成基層要求提案，要求每年加薪6美元、禁用自動化設備。罷工可能影響36個港口，台股貨櫃航運股上漲。,ILA宣布關閉港口抗議USMX未達成基層要求提案，罷工可能影響36個港口。台股貨櫃航運股上漲。,-0.42857142857142855,27.0,美国
2,美國人瘋狂購買金條，價值達百萬美元的400盎司金條首次現身，引發高度關注。黃金需求因矽谷銀行事件激增，人們尋找具有實體價值的投資工具。梅南德斯被判有罪，大量金條在他家中被發現，引發廣泛關注。黃金因抗通脹和避險需求上升，價格創下歷史新高。人們投資實物黃金以避免市場波動風,美國人/金條/梅南德斯/黃金/抗通膨/避險/實物投資,美國人瘋買金條，首次有400盎司金條價值達100萬美元，史上首見。矽谷銀行事件引發民眾對黃金的興趣激增，尋找「無法蒸發」的實體價值。梅南德斯被裁定罪名成立，家中查獲大量金條，引發廣泛關注。黃金需求因抗通膨與避險增加，價格創歷史新高。人們對實物黃金投資，避免市場波動風險，,美國人瘋狂購買金條，其中包括價值100萬美元的400盎司金條，創下史上首見。這是由於矽谷銀行事件引發了人們對黃金的興趣激增，他們正在尋找一種「無法蒸發」的實體價值。梅南德斯被證明有罪，他的家中被發現擁有大量金條，這一事件引起了廣泛關注。黃金需求因為抗通脹和避險的需求增加，價格也,上漲。這種趨勢可能反映出人們對經濟不穩定性的擔憂和對貨幣價值的質疑，並導致更多人尋找安全的投資方式。黃金在過去被視為避險資產，可以在經濟不穩定或通脹風險增加時保值。這個趨勢可能在短期內持續下去，但也可能受到經濟恢復和其他投資選擇的影響而逐漸減弱。,0.6363636363636364,55.0,美國
3,美國預防性降息推動公用事業、基建股強勢上揚,美國/預防性降息/公用事業/基建股/聯準會/再生能源/政治變数,美國預防性降息帶動公用事業、基建股強勢，2024年以來漲幅領先科技股。預期聯準會今、明年仍有降息空間，公用事業投資前景甜美。隨著全球央行啟動預防性降息，公用事業股息收益穩健，投資吸引力增加。民主黨候選人賀錦麗支持清潔能源政策，有助公用事業與再生能源長期趨勢。投資者應留意年底政治變數,這則新聞充滿了積極的投資前景，提到了美國預防性降息對公用事業和基建股的積極影響，以及預期聯準會今、明年仍有降息空間。同時也提到了民主黨候選人賀錦麗支持清潔能源政策，對公用事業和再生能源長期趨勢有助益。整體來說，這則新聞傳達了正面的投資訊息。,這則新聞強調了美國預防性降息對公用事業和基建股的積極影響，以及預期聯準會今、明年仍有降息空間。同時也提到了民主黨候選人賀錦麗支持清潔能源政策，對公用事業和再生能源長期趨勢有助益。整體來說，這則新聞傳達了正面的投資訊息。,0.7142857142857143,19.0,美國
4,台灣製造業PMI連續五個月擴張，達2024年來最高水平,台灣製造業/PMI/電子產業/國際市場需求/鋼鐵/石化/美國降息政策,台灣製造業PMI預計連續五個月擴張，達到2024年來的最高水平。9月PMI預計繼續維持50以上的擴張區，受到電子產業旺季和國際市場需求的支撐。然而，其他產業如鋼鐵、石化等仍面臨景氣谷底的挑戰。美、歐、中國的PMI仍呈緊縮，但美國和歐洲的降息政策有望降低企業不確定性，對台灣PMI有正向支持。,台灣製造業PMI預計連續五個月擴張，達到2024年來的最高水平，預計9月同樣繼續保持擴張。電子產業旺季和國際市場需求支撐PMI增長，但鋼鐵、石化等產業仍面臨挑戰。美、歐、中國的PMI維持收縮，但美國和歐洲的降息政策有望降低企業不確定性，有助於支持台灣PMI。,台灣製造業PMI連續五個月擴張，2024年來達最高水平，預計9月也將保持擴張。電子產業旺季和國際市場需求支撐增長，但其他產業仍面臨挑戰。美、歐、中國的PMI維持收縮，但美國和歐洲的降息政策有望降低企業不確定性，有助於支持台灣PMI。,0.75,22.0,台灣
5,8月景氣燈號亮出紅燈，經濟回溫,景氣燈號/新機備貨/鋼鐵/石化產業/國際金融情勢/製造業出貨/出口回升,8月景氣燈號亮出紅燈，經濟回溫。新機備貨帶動市場熱度，鋼鐵、石化產業表現亮眼。國際金融情勢熱絡，7月颱風影響製造業出貨，8月出口回升。海關出口值、工業生產指數、工業及服務業加班工時轉為紅燈。景氣指標顯示國內景氣持續成長，8月景氣對策信號分數39分，創,8月景氣燈號紅燈，經濟回溫。新機備貨帶動市場熱度，鋼鐵、石化產業表現亮眼。國際金融情勢熱絡，7月颱風影響製造業出貨，8月出口回升。但海關出口值、工業生產指數、工業及服務業加班工時轉為紅燈。景氣指標顯示國內景氣持續成長，8月景氣對策信號分數39分，創新高,8月景氣燈號紅燈，經濟回溫。新機備貨帶動市場熱度，鋼鐵、石化產業表現亮眼。國際金融情勢熱絡，7月颱風影響製造業出貨，8月出口回升。但海關出口值、工業生產指數、工業及服務業加班工時轉為紅燈。景氣指標顯示國內景氣持續成長，8月景氣對策信號分數39分，創新高,1.0,19.0,TWN
6,消費者信心指數微增，持續看好購房時機,消費者信心指數/購房時機/央行/房市/景氣/內需/服務業,9月消費者信心指數微增，持續看好購房時機，連續49個月維持樂觀區。央行打炒房未干擾高資產民眾，買房仍活躍。景氣盤整，房市有機會找到理想物件。內需穩健，服務業熱絡，缺工衝高薪資水準。民眾正面看待景氣，物價壓力減輕。,9月消費者信心指數微增，持續看好購房時機，連續49個月維持樂觀區。央行打炒房未干擾高資產民眾，買房活躍。景氣盤整，房市有機會找到理想物件。內需穩健，服務業熱絡，缺工衝高薪資。民眾正面看待景氣，物價壓力減輕。,消費者信心指數微增，持續看好購房時機，連續49個月維持樂觀區。央行打炒房未干擾高資產民眾，買房活躍。景氣盤整，房市有機會找到理想物件。内需穩健，服務業熱絡，缺工衝高薪資。民眾正面看待景氣，物價壓力減輕。,0.7142857142857143,18.0,台灣
7,9月消費新手機推出，景氣紅燈再次亮起,國發會/消費新手機/景氣紅燈/降息/美國大選/中東局勢/極端氣候/景氣概況,國發會表示，9月消費新手機推出，景氣紅燈再次亮起。除了降息近程外，美國大選結果、中東局勢與長期極端氣候等因素都可能影響經濟波動。8月份的景氣概況分數增加了4分，海關出口值、工業生產指數、工業及服務業加班工時轉為紅燈。展望未來，新興科技應用和消費性電子新品上市將帶動出口動能，投資和消費方面,9月份將推出新手機，但景氣紅燈亮起。降息、美國大選、中東局勢和極端氣候都可能影響經濟波動。8月份景氣概況分數增加4分，但海關出口值、工業生產指數和加班工時轉為紅燈。展望未來，新興科技和消費性電子新品將推動出口動能、投資和消費。,9月份將推出新手機，但景氣紅燈亮起。降息、美國大選、中東局勢和極端氣候都可能影響經濟波動。8月份景氣概況分數增加4分，但海關出口值、工業生產指數和加班工時轉為紅燈。展望未來，新興科技和消費性電子新品將推動出口動能、投資和消費。,0.6,16.0,台灣
8,台灣外銷訂單連續六個月成長,外銷訂單/數據/增長/消費性電子產品/預計/人工智慧/雲端需求,"根據經濟部統計處的數據，8月外銷訂單502.2億美元，年增9.1％，連續六個月成長。前八月外銷訂單總額3,751.1億美元，較去年同期增長3.5％。由於消費性電子產品進入銷售旺季，預計9月外銷訂單將更強，有望連續七個月成長。受惠於人工智慧和雲端需求，各大貨品接單皆呈正",外銷訂單持續增長，8月訂單年增9.1％，在連續六個月成長。前八月外銷訂單總額較去年同期增長3.5％，預計因消費性電子需求，9月訂單將繼續增強。人工智慧和雲端需求也帶動各大貨品接單正成長。整體來看，市場呈現積極態勢。,外銷訂單持續增長，8月訂單年增9.1％，連續六個月成長。前八月外銷訂單總額較去年同期增長3.5％，預計因消費性電子需求，9月訂單將繼續增強。人工智慧和雲端需求也帶動各大貨品接單正成長。整體來看，市場呈現積極態勢。,1.0,23.0,臺灣
9,美東港口罷工威脅經濟，汽車業供應鏈恐受重創,美東港口/碼頭/勞資僵局/罷工/汽車業/供應鏈/陽明,美東港口碼頭勞資僵局，罷工恐造成750億美元經濟損失。汽車業也將受到影響，供應鏈或觸底，將釀成經濟災難。陽明已啟動因應措施，採取調漲費率、調整船舶計畫等應對手段。罷工一旦爆發，將引發市場騷動、船舶調度挑戰，造成航商沉重考驗。,美東港口碼頭勞資僵局，罷工可能導致750億美元的經濟損失。汽車業也將受到影響，供應鏈可能崩潰，並導致經濟災難。陽明已經開始採取應對措施，例如調漲費率和調整船舶計畫。一旦罷工發生，市場將產生不穩定，船舶調度將面臨巨大挑戰，航運公司將面臨嚴峻考驗。,美東港口碼頭勞資僵局可能導致750億美元的經濟損失，汽車業供應鏈崩潰，陽明已採取應對措施，市場將不穩定，船舶調度面臨挑戰。,0.125,20.0,美國
10,央行突然信用管制可能降低民眾對政府的信任度，不動產協進會呼籲政府應有更妥善的房市調控措施，加強溝通與建築技術提升，並鼓勵多元投資管道。,中華民國/不動產協進會/央行/信用管制/房市調控/市場穩定/建築技術,中華民國不動產協進會理事長張麗莉表示，央行在第七波信用管制中毫無預警地出手，可能降低民眾對政府的信任度，並傷害無辜民眾。她建議政府在調控房市時需有更妥善的配套措施，讓市場更穩定。張麗莉同時指出營建成本上漲、缺工等困境，建議政府溝通與提升建築技術，並建立多元的投資管道，鼓勵,張麗莉對央行第七波信用管制毫無預警的做法表示批評，認為可能降低民眾對政府的信任度，並傷害無辜民眾。她建議政府在調控房市時需有更妥善的配套措施，讓市場更穩定。同時指出營建成本上漲、缺工等困境，建議政府溝通與提升建築技術，並建立多元的投資管道，鼓勵。,趨勢分析:張麗莉對央行第七波信用管制的做法表示批評，并提出了相關建議。她認為這種無預警的做法可能降低民眾對政府的信任度，並可能對無辜民眾造成傷害。她建議政府在調控房市時需有更妥善的配套措施，以使市場更穩定。此外，她還指出營建成本上漲和缺工等問題，并建議政府加強溝通、提升建築技術，,0.6470588235294118,17.0,中華民國
