ID,title,extracted_news_info,summary_report,sentiment_result,trend_result,sentiment_ratio,compression_ratio,country,id
0,台積電股價重返千元，7萬股民獲利結束,台積電股價/股民/獲利/股災/集保中心/股票/下車,台積電股價重返千元，讓許多股民獲利了結，其中有7萬多名股民從8月的股災時期上車，每張股票賺近18萬元。根據集保中心統計，台積電股價上升後一周內有近70萬名股民下車。今年台積電股價和股民變動情況，7月時股價一度飆至1080元，總受益人數為124萬5043人，隨後股價調整且重返千元，吸引股民們,股民們從台積電的股價變動中獲利，其中有7萬多名股民從8月的股災時期上車，每張股票賺近18萬元。集保中心統計顯示，台積電股價上升後一周內有近70萬名股民下車。今年台積電股價波動大，但仍受到許多股民的關注。,近期台積電股價波動明顯，引發了一股投資熱潮。從8月的股災中，超過7萬名股民趁低進場，每張股票平均獲利約18萬元，顯示出短期投資者對於股市反彈的敏感度。然而，股價回升後僅一周內便有近70萬名股民選擇獲利了結，顯示出市場情緒的高度波動與不確定性。整體來看，雖然台積電仍吸引大量關注，但市場情況提醒投資者謹慎對待短期波動風險。,1.0,3.0,TW,100.0
1,台股開盤上漲208點，突破2萬3權值股三王，台積電股價突破千元，鴻海股價上漲，聯發科漲幅15%。8檔個股攻漲停，包括六方科KY、攸泰科技、環天科、創威ABCKY等。,台股/權值股/台積電/鴻海/聯發科/漲停/投資者,台股今日持續走高，開盤上漲208點，站上2萬3權值股三王。台積電2330股價漲10元，突破千元關卡；鴻海2317股價也上漲，而聯發科2454則漲幅15%。觀察上市和上櫃個股，共有8檔個股攻漲停，包括六方科KY、攸泰科技、環天科、創威ABCKY等。請注意，此資料僅供參考，投資者應自行判斷評估。,情感分析：整體情緒正面。台股持續上漲，權值股表現強勁，特別是台積電突破千元，顯示市場信心增強。多檔個股漲停，顯示投資熱情高漲。,整體情緒呈現正面，台股持續上漲且權值股表現強勁，特別是台積電表現亮眼。投資者信心增強，市場熱情高漲，多檔個股漲停情景頻現。整體來看，市場呈現積極樂觀的態勢，投資環境相對向上。,1.0,2.0,TW,101.0
2,台股收盤上漲329.82點，自營商買超798億元,台股/開高走高/收盤上漲/自營商/買超/新光金/台積電,台股今日開高走高，收盤上漲329.82點，終場報22761.60點。根據證交所公布的籌碼動向，自營商今日買超798億元，其中以新光金（2888）買超最多，買入逾6000張。另外，台積電（2330）今日重返千元大關，買入逾2000張，排名第三。這也被視為股市看漲的信號。自營商的買超行動也被認為是市場樂觀的象徵。,台股今日表現強勁，上漲329.82點，顯示市場信心回升。自營商大幅買超798億元，反映出樂觀情緒，特別是新光金和台積電的買入情況。整體情感偏向正面。,台股今日表現強勁，上漲329.82點，市場信心回升。自營商大幅買超798億元，顯示出樂觀情緒，特別是新光金和台積電的買入情況。整體情感向正面趨勢發展，市場可能會持續看漲。,1.0,6.0,TW,102.0
3,台積電股價下跌，投資者應保持理性思考，逢低分批佈局。,台積電/股價/下跌/分批佈局/理性思考/產業趨勢/基本面,台積電近期股價下跌，但逢低分批佈局是明智的。投資者要保持理性思考，不要恐慌，因為股市總會有漲多和拉回的情況。台積電是一個好公司，只要產業趨勢和基本面穩定，大方向不會改變。投資者在遇到類似情況時，可以回顧這兩個月的經驗，找到投資寶藏。,新聞情感分析：此內容傳達了穩定和正面的投資信心。儘管台積電股價下跌，但鼓勵投資者保持理性和樂觀，認為長期基本面可靠，適合逢低布局。,趨勢分析：近期新聞情感顯示出對台積電的穩定信心，儘管股價短期下跌，市場仍鼓勵投資者保持理性和樂觀。這反映出對公司長期基本面的信任，並暗示逢低布局的投資策略可能會受到青睞。整體而言，市場情緒偏向於長期投資的正面展望。,1.0,9.0,TW,103.0
4,台積電股價重返千元大關，分析師建議繼續持有，未來發展看好。,台積電/股價/千元大關/Q4業績/分析師/EPS/本益比,台積電股價重返千元大關，分析師認為Q4業績有成長空間，股價仍具吸引力，建議持有者繼續持有。EPS預估仍高，預期本益比低於20倍算便宜，看好未來發展。,情感分析：正面。台積電股價回升，分析師對Q4業績持樂觀態度，建議持有，顯示市場信心強勁。未來發展前景看好，EPS預估高且本益比低，顯示投資價值。,趨勢分析：台積電的股價回升與分析師對Q4業績的樂觀預測，顯示出市場對該公司未來發展的強勁信心。投資者應該注意到高EPS預估與低本益比，這進一步強調了其投資價值。整體來看，市場情緒偏向正面，建議持有的意見也顯示了潛在的增長機會。,1.0,1.0,TW,104.0
5,台股開盤大漲收於22822點，市場受好消息影響。,美光/財測利好/中國政策支持/費城半導體指數/台積電ADR/季線/KD指標,台股27日開盤衝破23000點，但收在22822點下跌36點。市場受美光財測利好及中國政策支持影響，費城半導體指數大漲。台積電ADR超過2%。季線突破8月高點，外資回流，但KD指標超過92存在過熱風險。國際智慧能源展開幕，半導體等股受關注。投信觀察第四季布局，Switch2、AIPC等概念股成焦點。,台股今日開盤大漲，但最終收盤下跌。市場受美光財測利好及中國政策支持影響，費城半導體指數大漲，台積電ADR也上漲。外資回流，但KD指標過高可能存在過熱風險。國際智慧能源展開幕，半導體等股受關注。投信觀察第四季布局，Switch2、AIPC等概念股成焦點。,台股今日開盤大漲但最終收盤下跌，顯示市場仍持續波動。外資回流帶動指數上漲，且受美光財測利好及中國政策支持影響，半導體相關股受到青睞。然而，KD指標過高可能代表市場已經過熱，投資人應謹慎觀察市場走勢。國際智慧能源展開幕帶來關注，將刺激半導體等相關股的表現。此外，投信,1.0,6.0,TW,105.0
6,台股昨日上漲加權指數漲0.43%自營商買超359億元新光金和台積電買超最多,台股/加權指數/自營商/買超/新光金/台積電/前10大個股,台股昨日上漲，加權指數收在2285881點，漲幅0.43%。證交所統計資料顯示，自營商昨日買超359億元，其中新光金買超最多，買超逾3000張。另外，台積電連續6漲，收盤站上千元大關，昨日再掃進1300張。自營商昨日買超前10大個股中，除新光金和台積電外，還包括群創、全新、金寶、臺企銀、友達、國泰金和旺宏。投,台股昨日上漲，加權指數收在2285881點，漲幅0.43%。自營商昨日買超359億元，其中新光金買超最多，買超逾3000張。台積電連續6漲，收盤站上千元大關，昨日再掃進1300張。量的前10大個股中除新光金和台積電外，還包括群創、全新、金寶、臺企銀、友達、國泰金和旺宏。整體來看，市場情緒較為樂觀。,台股昨日上漲，加權指數收在22858.81點，漲幅0.43%。自營商買超359億元，顯示資金流入強勁，尤其新光金表現突出，買超逾3000張。台積電連續六日上漲，收盤突破千元大關，顯示市場對其前景的信心。量的前十大個股中，除了新光金和台積電，還有群創、全新等，顯示多元化的資金布局。整體市場情緒樂觀，顯示投資者對未來持正面看法。,1.0,5.0,TW,106.0
7,台股收復23000點，上漲220點，成交量3780億,台股/震盪/23000點/成交量/PCB/台積電/鴻海,台股今27日開盤後震盪上揚，成功收復23000點大關，上漲超過220點，預估成交量減少至3780億。今日強勢族群為PCB、景碩、欣興、南電等股票，其它有資金流入的族群有工具機、MCU、IC設計、鋼鐵和塑化類股。台積電股價上漲10元，最高來到1025元，鴻海股價上漲25元，最高來到192元，聯發科股價上漲15元，最高來到1285,台股今日開盤後震盪上揚，成功收復23000點大關，上漲超過220點。成交量預估減少至3780億。強勢族群包括PCB、景碩、欣興、南電等股票，其它有資金流入的族群有工具機、MCU、IC設計、鋼鐵和塑化類股。台積電股價上漲10元，最高來到1025元，鴻海股價上漲25元，最高來到192元，聯發科股價上漲15元，最高來到1285元。整,台股今日開盤後呈現震盪上揚的趨勢，成功收復23000點大關，上漲超過220點，顯示市場成交氛圍較為熱絡。成交量預估減少至3780億，市場交易氣氛可能較為穩定。強勢族群包括PCB、景碩、欣興、南電等股票，顯示這些族群可能受到投資人矚目。另外，有資金流入的族群包括工具機、MCU、IC設計、鋼鐵和塑化,1.0,1.0,TW,107.0
8,台積電股價重返千元，7萬股民獲利,台積電/股價/股民/持股/回升/入市/持股人數,台積電股價重返千元，有7萬股民獲利。股民中持1到999股的人數最多，持股人數減少。股價從8字頭回升，吸引更多人入市。今年股價曾飆至1080元，後調整至815元，再次回升至千元。现有145萬3757名股民持股，比上周減少69萬人。有部分股民從8字頭時期進場，賺取18萬元淨利。,情感分析：整體情感積極。台積電股價回升至千元，吸引更多股民入市，大部分股民獲利，特別是早期進場的股民獲得高額回報。然而，持股人數減少顯示出市場波動及情緒不安。,###趨勢分析  1.**股價回升**：台積電股價回升至千元，顯示出市場對其未來表現的信心，吸引了更多股民入市。  2.**獲利情況**：大部分股民，尤其是早期進場者，獲得了可觀的回報，這增強了市場的積極情緒。  3.**持股人數減少**：儘管整體情感積極，但持股人數的減少反映出市場的波動性及投資者的情緒不安，可能導致未來的市場不穩定。  ###總結 整體情感積極，但需警惕市場波動可能帶來的風險。投資者應謹慎評估持股策略。,1.0,3.0,TW,108.0
9,台股開盤下跌178.88點，台積電跌22元至978元,台股/加權指數/下跌/台積電/鴻海/聯發科/美聯準會,台股30日開盤加權指數下跌178.88點，報22643.91點，隨後再跌逾200點至22586.89點。主要股票如台積電下跌22元至978元，鴻海1元至190元，聯發科25元至1235元。美股方面，四大指數漲跌互見，費城半導體指數跌幅最大。市場關注日方持續緊縮政策及美聯準會的動向，台指夜盤再跌241點。投資者應審慎評估風險。,情感分析：整體情緒偏向負面。台股大幅下跌，主要股票表現不佳，市場對政策緊縮及美聯準會動向感到擔憂，投資者需謹慎。,**趨勢分析：**  1.**情緒狀態**：整體情緒偏向負面，顯示市場對未來走勢的信心不足。  2.**市場表現**：台股大幅下跌，主要股票表現不佳，反映出投資者信心低迷。  3.**政策擔憂**：市場對政策緊縮及美聯準會的動向感到擔憂，這加劇了不安情緒。  4.**投資建議**：在不確定的市場環境中，投資者應保持謹慎，以應對可能的風險。  總結：目前市場情緒低迷，需密切關注政策變化和外部經濟指標。,1.0,17.0,TW,109.0
