search_time,search_key,title,link,pub_date,description,source,newsUrl,content
2024-10-03 13:41:24,經濟,「2024臺灣循環經濟週」正式啟動 5部會合作實踐雙軸轉型 邁向綠色永續的韌性台灣 - moea.gov.tw,https://news.google.com/rss/articles/CBMijAFBVV95cUxPWFBwUHR3UUp6bjFFOWFSWEF2aUJLcDRoMU5VQlk2QnNxZExwLWJOZ2pZRDlpVEZUUFBaZVF2MDV4TkxyaVNnbFl5cko1dEcwZ29PV29vaDNCdXJaRlJrVlhtVFg3b25LcGpmWlRqWUhReHlRWW05SUIzZndpREFPbTd1UW9XVEVCbm96aw?oc=5,2024-09-19 07:00:00,「2024臺灣循環經濟週」正式啟動 5部會合作實踐雙軸轉型 邁向綠色永續的韌性台灣,moea.gov.tw,https://www.moea.gov.tw/MNS/populace/news/News.aspx?kind=1&menu_id=40&news_id=115984,unknow domain
2024-10-03 13:41:24,經濟,經濟學人：習近平欲扼殺智庫思考阻絕經濟壞消息| 國際 - 中央社即時新聞,https://news.google.com/rss/articles/CBMiX0FVX3lxTE5NQUV6NXRtTF92Y0dqYmdEclB2TmVTTDVJeHF4N2EyWHo1N3Q2ZmZTb3ZTOHgyVTBvb2w5b0UyMmpmaWY2Z240UGlkdkZZaHpXN24zUzZQSWhOczNoVjVv?oc=5,2024-09-27 12:59:00,經濟學人：習近平欲扼殺智庫思考阻絕經濟壞消息| 國際,中央社即時新聞,https://www.cna.com.tw/news/aopl/202409270362.aspx,unknow domain
2024-10-03 13:41:24,經濟,中國央行宣佈重大經濟提振措施 北京民眾怎麼看？ - BBC.com,https://news.google.com/rss/articles/CBMiZkFVX3lxTFBSZ3cxR3lmMlNFT0NzS2dlR0NzbEVRTElpSFpGZFlFWm1Nd21YUGUwU1BVVXpObllTYVFhNDZrTHoxQ2ZlRHJhWEJISkV4TVRLczhETHZpSEVvMlNSOGlQWkJYdGVCUdIBa0FVX3lxTE54eEJnQ19kZ05EeURJU3Z2aDdEd0pGNUtMeU1ObzFFeGlCRm9LOGxBY05fejNyQkFLOUVrNnZkZkc2Z2hVaFkxYm5uSFdNT2pMbzlGYU54ejZLbWF3VDNudXpzNHpjZlZwbjVN?oc=5,2024-09-27 13:46:16,中國央行宣佈重大經濟提振措施 北京民眾怎麼看？,BBC.com,https://www.bbc.com/zhongwen/trad/chinese-news-69376103,unknow domain
2024-10-03 13:41:24,經濟,經濟學家史洛克：美國現況可以用「金髮女孩」來形容- 新聞 - MoneyDJ理財網,https://news.google.com/rss/articles/CBMikgFBVV95cUxPa0tFa1JYYVJuY3ZiYzY0X1pkWUNoeWQtM1dGNFM0czJJZnRSWnUzV0FIQ2FnWENqV20yb2N2VlVLRDcxRGN3WWRtcnUtZnQ3NjBGOVItSWJZdl8ybjR5eWVac1Mya0xoRTQxc3h5YnpvX2J5UUl1VkNRc0RQcVZ1OERIakFEbW14cWJMUUdDYzVLdw?oc=5,2024-09-30 03:48:00,經濟學家史洛克：美國現況可以用「金髮女孩」來形容- 新聞,MoneyDJ理財網,https://www.moneydj.com/kmdj/news/newsviewer.aspx?a=46c1b7e0-1f62-499c-b41b-c3082d8cd436,unknow domain
2024-10-03 13:41:24,經濟,抱歉！問題仍在經濟 - 遠見雜誌,https://news.google.com/rss/articles/CBMiTkFVX3lxTE5OSXZCWjd1UEtTcERlcnVPa0cyUkZ0V1hPLUZfYjZZRkNXcmFXdWxKeXJ0STBJSTV5TF9FbTVZRm4wdldINU96a29TTGRyUQ?oc=5,2024-09-30 04:00:00,抱歉！問題仍在經濟,遠見雜誌,https://www.gvm.com.tw/article/115906,unknow domain
2024-10-03 13:41:24,經濟,自由開講》空口說白話？中共經濟政策引發信任危機 - 自由評論網,https://news.google.com/rss/articles/CBMiYkFVX3lxTE04MThOR2xtTVBMc0ZBUVVWUHJwVl9jV0Q3TXNyaENNaDN5NkVDRWJkMUZueUFmbm92ZURndUtzUUxGb3g5T0hlbF95aW9rQ2VjdmpwamtBRFN1Nk5mR0hhbHZ30gFnQVVfeXFMUEVkWDZpNlphMVBCaHlfaThKUHFRSU9kVjJCY3dQZUpVSGZUT1hNZ20wM1NUMVl5Qm1rV2J3VEdPaVktYnl1aDhmeHNTNEJ1RVJTR3NEV3VnTjF0SUptTmZRSW1CTlFzYw?oc=5,2024-09-30 13:20:00,自由開講》空口說白話？中共經濟政策引發信任危機,自由評論網,https://talk.ltn.com.tw/article/breakingnews/4814667,unknow domain
2024-10-03 13:41:24,經濟,經濟日報社論／降息降準下的中國大陸經濟 - 聯合新聞網,https://news.google.com/rss/articles/CBMiUEFVX3lxTE1ITnVjWkp3LWdERld3YjhvOHRYeFhjT2RaM1ZsS0hZMnVwaGF3ZTJkSU56MGZDZWNleUNXTW5sSnhGMnFoNW9aU1dEbF84bjll0gFWQVVfeXFMUFRlXzJiNlZucmZzQjhIdHdBZ1NCS2ZGd2xzSGtvQklMd29aeTkxell0OF9pXzNCVTlvY2hGamtQNjFnWmVNRXhYUS1WNWRaSWI3Q1RycHc?oc=5,2024-09-30 17:56:24,經濟日報社論／降息降準下的中國大陸經濟,聯合新聞網,https://udn.com/news/story/7338/8262071,中國人民銀行最近先後宣布降低政策利率0.2個百分點，以及下調存款準備率0.5個百分點的「降息降準」措施。 路透  中國人民銀行最近先後宣布降低政策利率0.2個百分點，以及下調存款準備率0.5個百分點的「降息降準」措施，也放寬房貸市場及股市融資條件，下調的幅度超出預期，陸港股市連續大漲回應。雖然目前各方對此政策成效看法不一，但是普遍認為有其必要性；也顯示大陸經濟政策已經開始轉軌，相關影響值得注意。   中國大陸上半年經濟成長率5%，雖然大致符合預期目標；但第2季表現不及第1季，下半年迄今經濟表現仍不理想。特別是由於國內消費及投資不振，生產者物價指數已連續下跌近二年，今年消費者物價指數也曾出現下跌，通貨緊縮的陰影仍存在，經濟很難達到5%的年度成長目標，經濟前景也不及美國及歐盟等主要經濟體，必須有更多刺激成長措施。在公布降息降準後，國際主要經貿機構也調升中國大陸今年經濟成長率，預期有機會超過5%。   在面臨美國聯合盟友強力圍堵下，大陸在2020年提出新發展格局，雖然仍強調「雙循環」，但以擴大國內市場，提升自身創新能量的「內循環」為主，並要降低對國外依賴的「外循環」，然而此成長模式卻面臨瓶頸，運作並不順暢。   房地產產業一向是支撐中國內需市場，以及帶動經濟成長的主軸。但在習近平「房子是用來住的，而不是用來炒的」一錘定音下，近年來大陸抑制房地產市場，推出所謂「三線四檔」融資管理規則，以降低房地產企業舉債擴張的金融風險，使得不少房地產業企業破產，層出不窮的「爛尾樓」更使得不少民眾血本無歸，連帶影響國內消費能力，使經濟持續呈現低迷。   事實上，自疫情以來，中國大陸經濟一直受到房地產市場危機，以及內需市場疲弱影響。中共中央政治局在最近會議中，承認經濟出現問題，並要強力出手救市，更首次表明房市必須首先止跌回穩。另外，中國大陸也公布提振就業的相關措施，以解決青年高失業率的問題，展現其開始全面解決經濟問題的決心。   習近平經濟思維篤信實體經濟，提出「新質生產力」，以創新驅動發展新興產業，做為經濟成長的動力，成為目前中國經濟政策的重點。不過在國內需求不足下，必須依賴出口吸納過剩產出，但卻面臨其他國家指控其不當補貼的貿易制裁，最近各國對大陸電動車加徵報復關稅即是一例；在未來會面對更多反制措施下，發展不確定性高。   綜合而言，在各國將中國大陸視為主要圍堵目標下，大陸未來會面臨更嚴苛的外在環境。美國總統選情雖然仍不明朗，但可以確定的是，無論誰當選，對中國大陸的反制不會鬆手，仍會持續擴大，只是程度上的差別。基於此，在未來對外擴張阻力增加下，必須回歸由刺激國內經濟著手，此次措施預期只是第一波，未來還有可能推出更多提振國內經濟的方案。   在美中長期經貿對抗、大陸經濟情勢不佳，以及地緣政治風險等多重因素下，近年來兩岸經貿結構也發生質變。台灣對大陸投資快速下滑，東協及美國成為台灣主要海外投資據點。今年上半年受人工智慧商機帶動下，台灣出口成長11.6%，但對大陸出口則持續降溫，衰退2.6%，占總出口比重也下降到31.2％，為22年來的新低。   雖然對大陸市場出口依賴降低，有助於降低風險，但是近年來對中國大陸出口疲弱，連帶也影響到台灣經濟成長。   在中國大陸寬鬆貨幣政策未來還有可能再加碼下，內需市場可望升溫；如何在兼顧出口動能及風險管控下掌握商機，一方面帶動台灣對大陸出口，另一方面則維持台灣對其他地區出口同步成長，雙管齊下，不偏廢任一市場，對台灣最為有利。
2024-10-03 13:41:24,經濟,2025年美國經濟衰退？頂尖經濟學家紛紛下注 - Anue鉅亨,https://news.google.com/rss/articles/CBMiT0FVX3lxTE5aQXE4bkVrYzJTS1ZoUm4zRlo4OEEwSy1fUXQ1azRsYXRSV1NvTmpnd0pYajk0Y0xyazJ4UlRSSl9IQl9jSUM2Y0NYT3dNWG8?oc=5,2024-10-01 03:59:57,2025年美國經濟衰退？頂尖經濟學家紛紛下注,Anue鉅亨,https://news.cnyes.com/news/id/5728365,經濟學家表示，隨著聯準會開始降息週期，美國經濟衰退的風險似乎較低，但就業市場疲軟和信用卡拖欠率上升可能構成雙重威脅。美國銀行家協會的頂級經濟學家在半年度預測中預測 2025 年經濟衰退的可能性僅為 30%。他們表示，聯準會「很有可能實現」難以實現的軟著陸，即一段時期的高利率會降低通膨，但不會導致經濟衰退。自世界二次大戰以來，聯準會僅實現過一兩次軟著陸。大多數時候，當美國央行升息以冷卻其認為過熱的經濟時，經濟衰退就會隨之而來。美國央行在 2022 年和 2023 年大幅升息，以應對 40 年來最嚴重的通膨。 在 2022 年中期達到 7.3% 的峰值後，聯準會首選的個人消費支出價格 (PCE) 指數已放緩至年率為 2.2%。聯準會的目標是將通膨率降至 2%。然而，長期的高通膨和高借貸成本對經濟造成的創傷遠未癒合。例如，由於抵押貸款利率高企，房地產市場陷入嚴重低迷，製造業已低迷一年多。近期，企業大幅減少了職缺和新員工。失業率也從僅 3.4% 的週期低點升至 4.2% 的三年多高點。迄今為止失業率的上升主要是由於更多人進入勞動市場，其中許多人是由於移民大幅增加，而且首次加入勞動市場。另一方面，裁員率仍接近歷史最低。MT Bank/Wilmington Trust 首席經濟學家 Luke Tilley 表示大可放心，這不是因為裁員，但 Tilley 表示，如果企業開始採取更廣泛的裁員措施，經濟可能會明顯惡化。儘管如此，ABA 預測明年失業率將達到 4.4% 的頂峰，然後再次開始下降。Tilley 說：「我們並沒有看到太多公司對他們正在大幅裁員的評論。」另一個擔憂是，經過幾年的高通膨後，低收入美國家庭面臨更大的財務壓力。信用卡貸款、汽車貸款和其他形式的消費債務的拖欠率最近一直在上升。拖欠率必須變得更糟才會加劇經濟壓力。東海岸港口即將舉行的罷工並未被視為特別大的擔憂。經濟學家認為會出現暫時的混亂，但可能不會產生任何重大的長期影響。
2024-10-03 13:41:24,經濟,鮑爾：美經濟健康不急降息 預計11、12月各降一碼 - 世界新聞網,https://news.google.com/rss/articles/CBMiYkFVX3lxTE9FVEFiZzdPby1NRHF5LUt6VHA3WGh5OXdlNThwMWNidmE5aHBTV1V1UDJ6eUhlUkdRZXVrV3BkMWc4LU5hX3h3eEdyT0dDOGtrbjN0OVFKYV8yUUMyVy1uWWJn0gFnQVVfeXFMT3lic2NCelhSeFdHNUNKcGM0Y2JERjkxaDZpTWZsdnhKODlTSUk1d0dCT05PYXhNeEIwMThKdFlMaWtLdlZyUmlFUzB3VlNrVmN0YWtPRnBmQkdBaFZ1WE9kSnNSN3g2SQ?oc=5,2024-10-01 06:25:39,鮑爾：美經濟健康不急降息 預計11、12月各降一碼,世界新聞網,https://www.worldjournal.com/wj/story/121172/8263273,unknow domain
2024-10-03 13:41:24,經濟,A股成交額創高、民眾卻對中國經濟悲觀…習近平的「救市砲彈」打錯靶？ - 財訊,https://news.google.com/rss/articles/CBMie0FVX3lxTE0tWXRDVTc3bk1CTkV3aGg5MDVsaG50YjZQSzU3ZGZ6Rzk5OGtfdm9tYzhnWDZVc3dTRzd1STdrQ2xXRFRPdFBHMDFYR3B1TGl5dlhjNlZ4Qkt2RmNNT2o0WXBITTRiQks4NG1KTWlOQklmV2xjVnBVU3c3TQ?oc=5,2024-10-01 09:04:48,A股成交額創高、民眾卻對中國經濟悲觀…習近平的「救市砲彈」打錯靶？,財訊,https://www.wealth.com.tw/articles/8aaaefb2-4635-43b0-a1c3-a4c61a116d8e,unknow domain
2024-10-03 13:41:24,經濟,中國經濟刺激組合拳：股市已持續瘋漲，樓市也能回暖嗎？ - BBC.com,https://news.google.com/rss/articles/CBMiZkFVX3lxTE1CQW9MakxVWUZFczRfVFhyY2FPNTBIRUtKMXE1TlpZb1ZfZllvVkpqbWszdnZnTzVlSlBkZ3lDc2E0Nkp5V1hYNGJRMXMxN3pOazJuT3BKTWc0QlBfNzUtZTFKMG4wZ9IBa0FVX3lxTE1sOTN4dXBHRjZ3RkpZZWN0RWM4UFNDclZsWnJSNkxqMGQwaF9vZXJIR19uMjlOWi1abUwzRG1RdTBBZ0o4R0d5dTY2a3ZNWnRwRG1WTEpGeTJSYUtCUmNjMmF5Y1RhVWd6dHc0?oc=5,2024-10-01 09:32:44,中國經濟刺激組合拳：股市已持續瘋漲，樓市也能回暖嗎？,BBC.com,https://www.bbc.com/zhongwen/trad/chinese-news-69384571,unknow domain
2024-10-03 13:41:24,經濟,阿根廷總統選前拒共產主義現因經濟壓力尋求與中國合作| 國際 - 中央社即時新聞,https://news.google.com/rss/articles/CBMiX0FVX3lxTFBnX2NDN2wybTAtaWNvdUk4MUVIQTBsWHpjNkVJS0YzRWpsMzVlYTEwWXVHNk84LUFIbGFodVBzV3c1T1o2cUZodWk2eUxteVNtUmMyUnNGQ1Z0VWxwRk40?oc=5,2024-10-01 10:39:00,阿根廷總統選前拒共產主義現因經濟壓力尋求與中國合作| 國際,中央社即時新聞,https://www.cna.com.tw/news/aopl/202410010383.aspx,unknow domain
2024-10-03 13:41:24,經濟,SDGs 目標12｜促進綠色經濟，確保永續消費及生產模式 - 未來城市＠天下,https://news.google.com/rss/articles/CBMiU0FVX3lxTE5PQmNoXzd3NzJoUzhqcUxrSHRtNWhJU1ZGOXByX0tfWlU0OXpHWXJYMW9sN1JtYnpLMlpPSTVsN3kxUUFnN1pxODRneUtXVDVLVEtv?oc=5,2024-10-01 16:37:02,SDGs 目標12｜促進綠色經濟，確保永續消費及生產模式,未來城市＠天下,https://futurecity.cw.com.tw/article/1293,unknow domain
2024-10-03 13:41:24,經濟,美聯準會主席強調經濟仍穩健 鮑爾： Fed 不急著積極降息 - 經濟日報,https://news.google.com/rss/articles/CBMiWkFVX3lxTE9wWGhEb3FPbEstcjJXdm83dlhwakktT2Y4T0VBak5wVEEtX1JCemQ4eTVLUUZBa1pEY3pKWTdwal9nRDU3VHpkei00RUZMSFVhT2tmdHJIZC02UdIBX0FVX3lxTE5sMDFzNUVHTHZnRU1zVlN1OVZpQUxBVHZBaFpidFlDY3BzUkJTWm1ILWU1Wl84Tk9VaVFNWU1WeFNDOGlCU0JJWGctNElJZmxjb041cFBoa3BCQlM4V1Rz?oc=5,2024-10-01 18:54:01,美聯準會主席強調經濟仍穩健 鮑爾： Fed 不急著積極降息,經濟日報,https://money.udn.com/money/story/5599/8264705,  美聯準會（Fed）主席鮑爾9月30日重申，9月降息2碼，不應該被解讀成接下來也會以同等幅度降息，並強調美國整體經濟依然穩健，「不急著」調降基準利率，暗示聯準會可能會在11、12月各降息1碼。在鮑爾發表演說後，市場預期11月降息1碼機率升至超過六成。   鮑爾9月30日在全美商業經濟協會（NABE）年會發表演說時表示，決策官員尋求在壓低通膨同時也能支撐就業市場，並讓數據指引未來行動，經濟情勢整體穩健，有意運用手上工具維持住現況，「展望未來，如果經濟的發展大致如預期，那麼隨時間推移，政策將回歸更加中性立場…但我們沒有預先設定路線」，「風險是雙邊的，我們將繼續逐次會議進行決策」。 Fed主席鮑爾最新談話重點  鮑爾提到若經濟數據維持一致性，那麼今年可能還會有兩次降息，但會是降幅較小，也就是一次降1碼，與市場認為會更積極降息的預期不同。   鮑爾表示，「委員會不急著快速降息」，「如果經濟表現符合預期，代表今年還會有兩次降息，還會再一共調降50個基點（2碼）」，但他也說，「如果經濟放緩速度超出我們預期，那麼我們能加快降息；如果放緩速度比我們預期慢，我們可以降慢一點。」   芝加哥商業交易所（CME）的FedWatch工具顯示，在鮑爾發表談話後，市場預期11月降息1碼的機率升至61.2%，高於一周前的41.9%。   鮑爾表示，勞動力市場穩健，但「過去一年中明顯降溫」，聯準會相信可透過適當調整政策立場，在經濟溫和成長、通膨持續下滑，同時維持就業市場穩健，「我們不認為，必須要見到勞動市場情勢進一步降溫，才能達到2%通膨率目標」。   關於通膨最頑固的一部分，也就是居住相關成本，鮑爾承認住房相關通膨下降速度一直遲緩，但他相信終將降溫。   延伸閱讀 ECB本月調降預期增強 聯準會主席：美國通膨持續降溫 
2024-10-03 13:41:24,經濟,SDGs 目標8｜促進包容且永續的經濟成長，讓每個人都有一份好工作 - 未來城市＠天下,https://news.google.com/rss/articles/CBMiU0FVX3lxTE9sQnhtdTRiVk9neHZKa0JhQWh6R2VpTmNxX0tJMlE4SEFjSVBza293RC1nek9aZWNVZFA1V0JiaENubWtWbFItcE5xdGJaNmpPTS13?oc=5,2024-10-01 19:30:28,SDGs 目標8｜促進包容且永續的經濟成長，讓每個人都有一份好工作,未來城市＠天下,https://futurecity.cw.com.tw/article/1299,unknow domain
2024-10-03 13:41:24,經濟,中國經濟：研究報告顯示中國民眾20年來的態度變遷 - BBC.com,https://news.google.com/rss/articles/CBMiZkFVX3lxTE1WU0gwVlo3RFhTbWk1Z2VhTGpHZnVVQlJKNEU2ZUg2NTZleGdmRXRaWWdZQ3BVWmctUVZKQkdUQ0RVZ3U2Vm5RNldXWnJ4bGwxQ3FfMkhzN0FvaDNfd0NMd1JUZmRtUdIBa0FVX3lxTE1XQjZSMEo3YmtpcHVoTUJJYUZDYUhnWTVCZHR3T3ZlajgxQl9XV2VPdUNKX2FtN0xfRVNZOTY2eDB3M0gxUXpBNkNfdHk4R2ZNVFFESXBSU1Bub2ZwVTR5ZHd6RGNvZDFYc0xJ?oc=5,2024-10-01 23:36:46,中國經濟：研究報告顯示中國民眾20年來的態度變遷,BBC.com,https://www.bbc.com/zhongwen/trad/chinese-news-69383762,unknow domain
2024-10-03 13:41:24,經濟,信心：解讀中國經濟一周的關鍵數據--時政--人民網 - 滾動新聞--時政--人民網,https://news.google.com/rss/articles/CBMidkFVX3lxTFBJTndRZXM4Mk9pUGd4S09BaHFIN3hkYmRwcmp5eHQ0ZTRlaHVRdDZxQUZwR0VFQ0o0dEdOU1BrUUV4MDBJQnJsNWY4OVBXLTkzLVdwT1JxQ3EwTUZENmxwbzRUZnZKOXVqSTdIQXV1cldtYmJ4X0E?oc=5,2024-10-02 00:56:00,信心：解讀中國經濟一周的關鍵數據--時政--人民網,滾動新聞--時政--人民網,http://politics.people.com.cn/BIG5/n1/2024/1002/c1001-40332505.html,unknow domain
2024-10-03 13:41:24,經濟,普丁能靠戰時經濟耗下去？瑞典經濟學家：撐不久了！ - Newtalk新聞,https://news.google.com/rss/articles/CBMiWkFVX3lxTFBMcDhFNWhjMW5JTm5ial9tUHRfLXBVeW5XVEZianJSemtPWE5YazZEeG16eVlVWGtxendxSm42TnViaTh4SlRiNndmZTFqRXZNdWYxdGN0QWVlZw?oc=5,2024-10-02 01:35:59,普丁能靠戰時經濟耗下去？瑞典經濟學家：撐不久了！,Newtalk新聞,https://newtalk.tw/news/view/2024-10-02/938582,unknow domain
2024-10-03 13:41:24,經濟,日股雪崩！石破茂的第一堂經濟課謝金河翻譯資本市場的意思別廢了安倍經濟學- 國際 - 工商時報,https://news.google.com/rss/articles/CBMiX0FVX3lxTE1iQ3F6aE14YmdBQVN1TGFHc09XVEpjcS15eElqcElmRngxbnVjWG5XQ2ZGRWVqd19ua0lsV2JJQzUxWXgyVTc3SW1oemg3NEZiYUdnclVRTUxIbXNQVVpJ?oc=5,2024-10-02 01:57:00,日股雪崩！石破茂的第一堂經濟課謝金河翻譯資本市場的意思別廢了安倍經濟學- 國際,工商時報,,
